user_id,real_name,telegram_id,bithumb_wallet,submitted_at
6703159952,,,0x16f0f8829b55ad6d642de28130ee491e02590183,"2026-04-11 13:01:46"
7976379406,,,0xeb2609f83cba49cd937caa84ec11b35bea25b120,"2026-04-11 12:51:17"
8240876809,,,0xa42ca0d7886d25002d26a4982f4519f151465a91,"2026-04-11 12:40:15"
8584625372,,,0x4e3abb9f7a5ff4dac4fdd215083fd51b3f05fb4f,"2026-04-11 12:01:32"
8280535659,,,0x9b3d2a1f9bb4993adaec899244d13a7240ebe9cf,"2026-04-11 11:59:29"
7232146114,,,0xF8c3A0249589d9dd21c3404C28E3a2be3a59272d,"2026-04-11 11:53:34"
7688909696,,,0x84aa9f5b8c2b4d018c6c5421969329c9d0e4adb2,"2026-04-11 11:20:20"
1377325218,,,0x0729e9a88de2f34406cdfe98cae9940cd921265c,"2026-04-11 10:48:08"
600493595,,,0x2a2cb2f35dc3da311dd14a806b1cd1cc4a8a53bb,"2026-04-11 10:17:12"
1943160610,,,0xe4b681681ff39a3547c159f4ffcd0a2b212d397b,"2026-04-11 10:06:13"
6266890698,,,0x3f5621b323a639d77bc5d3a070649902af22ae4b,"2026-04-11 10:00:21"
7871330013,,,0x2057adcbd1d2cde26c757a12a4e8da0ef45914f5,"2026-04-11 09:40:51"
6678205583,,,0x921dd600cfa139f4fba538b6eb16282981f924b2,"2026-04-11 09:29:20"
5162051756,,,0x4af8aa63c265ddf69ee1cfc6712487a38b1db9e3,"2026-04-11 09:17:20"
61135333,,,0xcfdac672c92fdbf479888d4604564b83f80bef85,"2026-04-11 09:15:14"
840600583,,,0x0f39038f47e8797fad8109ddb80624262523dcab,"2026-04-11 08:55:49"
5176625389,,,0x3744ac8f28c9936b1ccac2450132d27ca42e5fdf,"2026-04-11 08:26:04"
